Student_ID,Date,Subject,Attendance_Status
S00001,03/09/2024,Arabic,Late
S00001,15/05/2024,Arabic,Absent
S00001,12/03/2024,Arabic,Present
S00001,29/06/2024,Arabic,Present
S00001,26/06/2024,Arabic,Left Early
S00001,03/02/2025,Arabic,Excused
S00001,04/10/2024,Arabic,Absnt
S00001,04/12/2024,Arabic,Absent
S00001,09/05/2024,Arabic,Present
S00001,07/08/2024,Arabic,Present
S00002,06/10/2024,Arabic,Left Early
S00002,17/02/2025,Arabic,Absent
S00002,03/05/2024,Arabic,Absnt
S00002,24/12/2024,Arabic,Late
S00002,06/07/2024,Arabic,Present
S00002,07/09/2024,Arabic,Present
S00002,12/09/2024,Arabic,Left Early
S00003,02/10/2024,Arabic,Absent
S00003,06/12/2024,Arabic,Present
S00003,02/04/2024,Arabic,Present
S00003,03/12/2024,Arabic,Present
S00004,26/11/2024,Arabic,Late
S00004,27/06/2024,Arabic,Absnt
S00004,13/07/2024,Arabic,Present
S00004,04/07/2024,Arabic,Left Early
S00004,13/08/2024,Arabic,Late
S00005,31/07/2024,Arabic,Absnt
S00005,07/11/2024,Arabic,Left Early
S00005,28/07/2024,Arabic,Late
S00005,27/01/2025,Arabic,Late
S00006,16/12/2024,Arabic,Late
S00006,29/08/2024,Arabic,Left Early
S00006,23/12/2024,Arabic,Late
S00007,04/03/2025,Arabic,Present
S00007,04/03/2025,Arabic,Present
S00007,15/01/2025,Arabic,Present
S00007,06/07/2024,Arabic,Late
S00007,21/01/2025,Arabic,Absnt
S00008,09/02/2025,Arabic,Present
S00008,15/03/2024,Arabic,Absnt
S00008,22/06/2024,Arabic,Absnt
S00008,27/09/2024,Arabic,Left Early
S00008,20/10/2024,Arabic,Late
S00008,08/01/2025,Arabic,Present
S00008,06/09/2024,Arabic,Excused
S00008,29/11/2024,Arabic,Left Early
S00009,07/07/2024,Arabic,Late
S00009,06/12/2024,Arabic,Excused
S00009,13/08/2024,Arabic,Late
S00009,14/02/2025,Arabic,Late
S00009,20/02/2025,Arabic,Absent
S00009,04/08/2024,Arabic,Present
S00009,28/02/2025,Arabic,Present
