Student_ID,Date,Subject,Attendance_Status
S00001,15/08/2024,Geography,Present
S00001,19/02/2025,Geography,Late
S00001,07/11/2024,Geography,Present
S00001,09/01/2025,Geography,Absent
S00001,18/03/2024,Geography,Present
S00001,14/10/2024,Geography,Late
S00001,20/06/2024,Geography,Late
S00002,02/08/2024,Geography,Absent
S00002,17/04/2024,Geography,Absent
S00002,21/02/2025,Geography,Late
S00002,03/04/2024,Geography,Absnt
S00002,06/05/2024,Geography,Absnt
S00002,17/10/2024,Geography,Present
S00003,21/09/2024,Geography,Excused
S00003,08/12/2024,Geography,Left Early
S00003,27/07/2024,Geography,Left Early
S00003,09/10/2024,Geography,Late
S00004,24/12/2024,Geography,Absnt
S00004,12/09/2024,Geography,Excused
S00004,24/12/2024,Geography,Late
S00004,23/12/2024,Geography,Absent
S00004,22/04/2024,Geography,Late
S00004,28/06/2024,Geography,Absent
S00005,28/12/2024,Geography,Late
S00005,19/09/2024,Geography,Late
S00006,03/01/2025,Geography,Late
S00006,21/07/2024,Geography,Absent
S00007,12/09/2024,Geography,Absent
S00007,15/08/2024,Geography,Present
S00007,14/03/2024,Geography,Late
S00007,29/12/2024,Geography,Excused
S00008,14/12/2024,Geography,Left Early
S00008,20/08/2024,Geography,Absent
S00008,25/01/2025,Geography,Absent
S00008,21/10/2024,Geography,Left Early
S00008,03/06/2024,Geography,Late
S00008,26/12/2024,Geography,Late
S00009,14/11/2024,Geography,Present
S00009,05/02/2025,Geography,Late
S00009,28/03/2024,Geography,Present
S00009,10/11/2024,Geography,Absnt
S00010,08/09/2024,Geography,Left Early
S00010,07/10/2024,Geography,Late
S00010,30/10/2024,Geography,Present
S00010,06/11/2024,Geography,Late
S00010,09/02/2025,Geography,Left Early
S00010,20/08/2024,Geography,Present
S00011,18/02/2025,Geography,Present
S00011,02/03/2025,Geography,Left Early
S00011,29/07/2024,Geography,Excused
S00011,30/09/2024,Geography,Present
S00012,24/05/2024,Geography,Present
S00012,04/05/2024,Geography,Left Early
S00012,29/04/2024,Geography,Absent
S00012,12/06/2024,Geography,Late
S00012,20/06/2024,Geography,Present
S00012,17/05/2024,Geography,Late
S00012,31/07/2024,Geography,Late
S00013,22/07/2024,Geography,Late
S00013,11/02/2025,Geography,Late
S00014,03/03/2025,Geography,Excused
S00014,25/09/2024,Geography,Present
S00014,03/01/2025,Geography,Excused
S00014,29/04/2024,Geography,Left Early
S00015,20/10/2024,Geography,Left Early
S00015,06/12/2024,Geography,Left Early
S00015,07/07/2024,Geography,Late
S00015,22/04/2024,Geography,Present
S00016,29/11/2024,Geography,Excused
S00016,23/03/2024,Geography,Present
S00016,02/12/2024,Geography,Late
S00016,29/05/2024,Geography,Excused
S00016,06/06/2024,Geography,Left Early
S00016,26/11/2024,Geography,Left Early
S00016,19/07/2024,Geography,Late
S00017,14/03/2024,Geography,Present
S00017,08/02/2025,Geography,Late
S00017,03/03/2025,Geography,Absent
S00017,22/06/2024,Geography,Present
S00018,19/07/2024,Geography,Absnt
S00018,07/12/2024,Geography,Late
S00018,08/09/2024,Geography,Present
S00018,24/07/2024,Geography,Late
S00018,22/04/2024,Geography,Excused
S00018,10/09/2024,Geography,Absent
S00019,07/12/2024,Geography,Present
S00019,01/07/2024,Geography,Present
S00019,09/07/2024,Geography,Absnt
S00019,17/01/2025,Geography,Late
S00019,11/04/2024,Geography,Left Early
S00019,25/08/2024,Geography,Late
S00019,17/07/2024,Geography,Absent
S00019,21/08/2024,Geography,Present
S00020,03/11/2024,Geography,Absent
S00020,11/03/2024,Geography,Late
S00020,29/11/2024,Geography,Late
S00020,03/03/2025,Geography,Present
S00020,16/05/2024,Geography,Late
S00021,03/11/2024,Geography,Excused
S00021,27/01/2025,Geography,Absent
S00021,25/09/2024,Geography,Left Early
S00021,21/03/2024,Geography,Late
S00021,25/10/2024,Geography,Late
S00022,25/10/2024,Geography,Absnt
S00022,14/10/2024,Geography,Left Early
S00022,11/06/2024,Geography,Present
S00022,26/02/2025,Geography,Excused
S00022,04/10/2024,Geography,Present
S00022,27/04/2024,Geography,Late
S00022,30/08/2024,Geography,Excused
S00023,08/12/2024,Geography,Excused
S00023,19/02/2025,Geography,Late
S00023,01/04/2024,Geography,Late
S00023,28/02/2025,Geography,Excused
S00023,23/04/2024,Geography,Absent
S00024,24/07/2024,Geography,Present
S00024,26/05/2024,Geography,Late
S00024,21/02/2025,Geography,Left Early
S00024,10/04/2024,Geography,Excused
S00024,21/08/2024,Geography,Present
S00024,22/02/2025,Geography,Present
S00024,16/05/2024,Geography,Late
S00025,30/09/2024,Geography,Left Early
S00025,16/02/2025,Geography,Present
S00025,02/07/2024,Geography,Late
S00025,24/01/2025,Geography,Late
S00025,22/10/2024,Geography,Absent
S00025,25/05/2024,Geography,Absnt
S00025,24/07/2024,Geography,Absent
S00025,28/05/2024,Geography,Excused
S00026,26/05/2024,Geography,Absnt
