Student_ID,Date,Subject,Attendance_Status
S00001,02/12/2024,Math,Present
S00001,07/05/2024,Math,Present
S00001,28/09/2024,Math,Present
S00001,07/11/2024,Math,Late
S00001,06/07/2024,Math,Late
S00001,16/09/2024,Math,Excused
S00001,02/11/2024,Math,Absent
S00001,05/01/2025,Math,Present
S00001,25/10/2024,Math,Late
S00001,10/01/2025,Math,Late
S00001,05/12/2024,Math,Late
S00001,20/06/2024,Math,Absnt
S00002,29/06/2024,Math,Present
S00002,08/10/2024,Math,Present
S00002,11/10/2024,Math,Absent
S00002,03/09/2024,Math,Absnt
S00003,19/12/2024,Math,Late
S00003,06/12/2024,Math,Late
S00004,06/05/2024,Math,Late
S00004,05/03/2025,Math,Absnt
S00004,08/12/2024,Math,Absent
S00005,18/03/2024,Math,Left Early
S00005,06/04/2024,Math,Present
S00005,24/11/2024,Math,Left Early
S00005,18/11/2024,Math,Present
S00005,05/01/2025,Math,Excused
S00005,12/03/2024,Math,Late
S00005,18/06/2024,Math,Present
S00005,28/11/2024,Math,Present
S00006,02/05/2024,Math,Late
S00006,05/06/2024,Math,Excused
S00006,13/02/2025,Math,Present
S00006,18/07/2024,Math,Late
S00006,07/10/2024,Math,Present
S00007,01/05/2024,Math,Present
S00007,14/08/2024,Math,Late
S00007,08/07/2024,Math,Present
S00007,25/10/2024,Math,Late
S00007,18/02/2025,Math,Present
S00008,27/08/2024,Math,Excused
S00008,06/11/2024,Math,Present
S00008,28/01/2025,Math,Left Early
S00008,21/05/2024,Math,Present
S00008,23/12/2024,Math,Left Early
S00009,05/09/2024,Math,Excused
S00009,20/12/2024,Math,Excused
S00009,04/06/2024,Math,Absnt
S00009,10/07/2024,Math,Left Early
S00009,14/04/2024,Math,Absent
S00010,21/04/2024,Math,Late
S00010,10/02/2025,Math,Present
S00010,16/06/2024,Math,Late
S00011,17/10/2024,Math,Absent
S00011,24/12/2024,Math,Absnt
S00011,15/06/2024,Math,Late
S00011,30/05/2024,Math,Left Early
S00012,28/09/2024,Math,Absnt
S00012,05/01/2025,Math,Present
S00012,11/04/2024,Math,Present
S00013,03/11/2024,Math,Late
S00014,21/09/2024,Math,Absnt
S00014,29/10/2024,Math,Present
S00014,26/11/2024,Math,Excused
S00014,16/08/2024,Math,Left Early
S00014,11/12/2024,Math,Left Early
S00016,16/06/2024,Math,Excused
S00016,30/03/2024,Math,Late
S00016,24/07/2024,Math,Left Early
S00016,25/01/2025,Math,Absnt
S00016,31/03/2024,Math,Present
S00016,19/11/2024,Math,Present
S00016,17/11/2024,Math,Late
S00016,26/10/2024,Math,Present
S00017,03/11/2024,Math,Present
S00017,02/05/2024,Math,Left Early
S00017,16/07/2024,Math,Present
